"","M1_1_MSS","M1_2_MSS","M5_1_MSS","M5_2_MSS","T49_1_MSS","T49_2_MSS","M42_1_PD","M42_2_PD","M43_1_PD","M43_2_PD","M64_1_PD","M64_2_PD"
"820",518862.6689,403156.4227,513080.6943,506768.0678,1215363.503,1531454.909,718531.6715,581281.9471,833240.4382,899061.9827,506541.9295,456929.5227
"821",13919.3416,11020.91152,1385.015596,5173.539363,2692.052369,4812.032464,3086.696579,2162.816293,57219.33063,42198.26708,7835.803624,5502.658641
"822",28849.91339,26958.42183,22748.19581,19573.26058,26116.47528,24371.53691,25363.14841,21200.61324,17309.67156,5753.063193,59185.84664,43826.17068
"823",204149.3336,299458.1828,158240.875,182103.1287,370670.1261,276598.3627,137374.1409,170027.2136,228605.6684,229274.9312,331776.0257,287972.6059
"824",186249.4131,174158.0549,13111.67484,19879.66281,23381.17506,19268.51523,101006.8092,109251.0027,113330.1854,105886.1696,205360.2494,162606.0415
"825",131015.1612,138568.0969,16952.73901,20296.52286,47854.21202,53242.26137,68041.45306,69671.47808,72197.9322,79400.90925,138484.3774,103179.7871
"826",58581.12979,64211.34809,56496.7102,65398.42643,104606.0563,69007.04562,119397.398,93473.13715,144522.779,135778.0404,144756.0112,124677.4212
"827",238894.1631,247172.0919,277394.3034,372449.0701,557898.2679,374693.9823,959048.4678,674217.8444,346941.1739,294932.1333,422523.7573,353703.6188
"828",149366.735,113495.8072,54453.13057,50674.71381,56342.76652,44108.63221,31793.52377,22703.78479,3973.53589,5452.079616,12169.39771,13574.26187
"829",0,0,0,0,0,0,0,0,20008.64374,21770.76737,0,0
"830",489588.1051,541041.1658,998747.0933,1237109.391,881034.3332,714452.1759,1225519.014,179647.0725,21728.99817,19486.98903,60160.19126,34077.78891
"831",1605.238403,823.3763558,0,0,0,0,0,0,11043.53995,16190.38415,0,0
"832",124670.3236,176927.7655,46162.22279,68581.0714,77779.34478,74244.46086,67303.91081,65404.00438,196786.1015,195688.1782,136265.4776,92949.58127
"833",5377.829771,4842.007641,142009.1183,120222.5762,36093.83489,12442.01771,416348.1028,504569.0438,41469.23358,54188.93619,63546.97682,75726.90889
"834",735968.2281,677809.8958,490377.566,569648.5781,95124.13722,83567.19765,37376.69864,43703.90889,225052.0009,272628.0359,347912.9072,389512.7524
"835",17798.02472,1261.378229,0,859.5030566,1163.3088,1655.85146,5154.593736,2397.867233,27888.29425,32491.86268,25530.40102,6313.925652
"836",10504.6827,10208.5087,0,3177.478085,13884.50504,6396.657086,52307.97251,54101.25264,105047.4052,125298.5137,23166.22716,30680.8787
"837",65977.89158,59139.55164,0,6245.748729,1673.474099,3039.220037,10148.93611,1594.808839,5809.441089,2079.824585,1384.957702,2364.53654
"838",193197.1021,200358.8916,229062.1567,312225.5362,192530.8445,241477.4595,475642.5238,126510.6166,99738.31111,34091.76564,431861.2725,301421.8282
"839",777.5281941,2976.012583,3841.728544,195721.2612,10002.11647,137752.2608,22016.82767,29623.80682,75.11237288,7855.647028,6787.776827,6047.0992
"840",26203.48518,20254.51881,12509.50516,8596.016855,7651.040174,9460.840816,20950.03761,6121.234524,4218.303869,4489.797145,15138.73341,5679.028715
"841",22156.32077,9682.942402,18736.0966,31641.42141,66936.35496,49893.62887,36887.27907,12865.21258,24920.65047,8349.086841,78210.24435,64258.4828
"842",65879.48835,65298.03877,88643.43578,147758.6067,121770.2116,130272.9404,39292.64995,42724.94078,121350.988,109887.2838,111856.7392,52330.51309
"843",3436.998941,2079.425167,18322.37055,33638.9745,13673.94943,15767.55019,7400.797546,10445.54992,45138.97812,42215.12084,19102.01909,12014.08608
